date,cash,investments_value,total_value
2020-01-02,575.826530456543,99424.17346954346,100000.0
2020-01-31,512.4182415008545,106312.97160720825,106825.3898487091
2020-03-02,450.842896938324,109798.20280885696,110249.04570579529
2020-04-01,91.71675443649292,92998.0524482727,93089.7692027092
2020-05-01,442.57286739349365,113110.21035814285,113552.78322553635
2020-06-01,627.4813241958618,128063.41509342194,128690.8964176178
2020-07-01,530.8721265792847,149075.8909225464,149606.76304912567
2020-07-31,593.4694147109985,166661.60712242126,167255.07653713226
2020-09-01,708.7475271224976,202970.3907585144,203679.1382856369
2020-10-01,531.7987203598022,191904.6601486206,192436.4588689804
2020-11-02,635.3845376968384,179447.41549110413,180082.80002880096
2020-12-01,668.6227588653564,204983.78067588806,205652.40343475342
2020-12-31,791.1836185455322,216102.7021446228,216893.88576316833
2021-02-01,707.3092670440674,232527.2141418457,233234.52340888977
2021-03-01,626.2882852554321,221117.65178108215,221743.9400663376
2021-04-01,557.9293069839478,219519.5584487915,220077.48775577545
2021-04-30,763.469292640686,238865.2693786621,239628.7386713028
2021-06-01,729.2589731216431,229693.4440612793,230422.70303440094
2021-07-01,868.3759164810181,256312.53746032715,257180.91337680817
2021-08-02,946.5531148910522,257907.14855384827,258853.70166873932
2021-09-01,941.1575231552124,276450.29915237427,277391.4566755295
2021-10-01,862.0796098709106,267561.95348739624,268424.03309726715
2021-11-01,864.8397665023804,321771.59530067444,322636.4350671768
2021-12-01,818.1007261276245,336724.42235565186,337542.5230817795
2021-12-31,801.8497934341431,328142.9661540985,328944.81594753265
2022-02-01,903.9812669754028,292395.7435913086,293299.724858284
2022-03-01,721.7988176345825,283011.6452484131,283733.44406604767
2022-04-01,754.9745035171509,320927.0182991028,321681.99280261993
2022-05-02,520.813229560852,257578.54572296143,258099.35895252228
2022-06-01,217.64822483062744,239778.87885665894,239996.52708148956
2022-07-01,189.97434425354004,214920.34213256836,215110.3164768219
2022-08-01,875.8492183685303,263253.0608329773,264128.9100513458
2022-09-01,881.9470481872559,239589.73699188232,240471.68404006958
2022-09-30,261.44604301452637,218015.94406700134,218277.39011001587
2022-11-01,513.2019538879395,203852.63518047333,204365.83713436127
2022-12-01,598.5262622833252,212449.74377822876,213048.27004051208
2023-01-03,323.9306993484497,176976.65965747833,177300.59035682678
2023-02-01,672.9044542312622,228937.7843723297,229610.68882656097
2023-03-01,373.0878324508667,240533.8210258484,240906.90885829926
2023-03-31,1087.6060800552368,274037.87683677673,275125.48291683197
2023-05-01,682.5418062210083,273441.38822746277,274123.9300336838
2023-06-01,1061.0377473831177,335628.2678375244,336689.30558490753
2023-06-30,677.7185258865356,367975.0464744568,368652.7650003433
2023-08-01,1221.1236238479614,386219.32054519653,387440.4441690445
2023-09-01,728.3429613113403,385978.1926383972,386706.53559970856
2023-10-02,1102.9630250930786,373779.54971694946,374882.51274204254
2023-11-01,1012.1360063552856,360593.0168762207,361605.152882576
2023-12-01,1171.174584388733,397514.5930175781,398685.76760196686
2024-01-02,739.6402444839478,411687.2742538452,412426.91449832916
2024-02-01,1111.2993364334106,457375.22761917114,458486.52695560455
2024-03-01,1198.5922746658325,541305.7068786621,542504.299153328
2024-04-01,1069.7154207229614,561663.9165802002,562733.6320009232
2024-05-01,1393.7515230178833,527666.8668212891,529060.618344307
2024-05-31,1116.0838136672974,622662.1517181396,623778.235531807
2024-07-01,1247.835934638977,702874.8748626709,704122.7107973099
2024-08-01,810.3656969070435,645670.6115188599,646480.9772157669
2024-09-03,824.4031419754028,642563.3082885742,643387.7114305496
2024-10-01,1344.9313554763794,698577.0285949707,699921.9599504471
2024-11-01,1044.1025743484497,753761.8844146729,754805.9869890213
2024-12-02,1473.1408281326294,807660.9261474609,809134.0669755936
2025-01-02,1053.4589128494263,829122.557800293,830176.0167131424
2025-01-31,1336.58434009552,790094.6229095459,791431.2072496414
2025-02-28,899.8947343826294,759262.4632568359,760162.3579912186
2025-03-10,2126.274739265442,662914.4565734863,665040.7313127518
