date,type,amount,description,ticker,shares,price,gain_loss,gain_loss_pct,days_held
2020-01-01,deposit,100000.0,Initial investment,,,,,,
2020-01-02,buy,17233.707275390625,Bought 237 shares of AAPL,AAPL,237.0,72.716064453125,,,
2020-01-02,buy,14788.43028831482,Bought 2476 shares of NVDA,NVDA,2476.0,5.972710132598877,,,
2020-01-02,buy,14412.389068603516,Bought 94 shares of MSFT,MSFT,94.0,153.3232879638672,,,
2020-01-02,buy,10533.955215454102,Bought 111 shares of AMZN,AMZN,111.0,94.90049743652344,,,
2020-01-02,buy,10488.689834594727,Bought 154 shares of GOOGL,GOOGL,154.0,68.1083755493164,,,
2020-01-02,buy,10479.115356445312,Bought 154 shares of GOOG,GOOG,154.0,68.04620361328125,,,
2020-01-02,buy,6478.432846069336,Bought 31 shares of META,META,31.0,208.98170471191406,,,
2020-01-02,buy,6052.3240032196045,Bought 211 shares of TSLA,TSLA,211.0,28.68400001525879,,,
2020-01-02,buy,4617.719593048096,Bought 165 shares of AVGO,AVGO,165.0,27.98617935180664,,,
2020-01-02,buy,4339.40998840332,Bought 19 shares of BRK-B,BRK-B,19.0,228.38999938964844,,,
2020-02-01,deposit,1500.0,Monthly investment,,,,,,
2020-01-31,buy,299.7349548339844,Bought 4 shares of AAPL,AAPL,4.0,74.9337387084961,,,
2020-01-31,buy,306.07582664489746,Bought 52 shares of NVDA,NVDA,52.0,5.886073589324951,,,
2020-01-31,buy,162.49668884277344,Bought 1 shares of MSFT,MSFT,1.0,162.49668884277344,,,
2020-01-31,buy,200.8719940185547,Bought 2 shares of AMZN,AMZN,2.0,100.43599700927734,,,
2020-01-31,buy,213.89440155029297,Bought 3 shares of GOOGL,GOOGL,3.0,71.29813385009766,,,
2020-01-31,buy,214.12033081054688,Bought 3 shares of GOOG,GOOG,3.0,71.37344360351562,,,
2020-01-31,buy,86.74266815185547,Bought 2 shares of TSLA,TSLA,2.0,43.371334075927734,,,
2020-01-31,buy,79.4714241027832,Bought 3 shares of AVGO,AVGO,3.0,26.490474700927734,,,
2020-03-01,deposit,1500.0,Monthly investment,,,,,,
2020-03-02,sell,4081.738042831421,Sold 165 shares of AVGO for tax-loss harvesting,AVGO,165.0,24.73780632019043,-535.9815502166748,-11.607061438368548,2.0
2020-03-02,buy,1087.723731994629,Bought 15 shares of AAPL,AAPL,15.0,72.5149154663086,,,
2020-03-02,buy,943.3841118812561,Bought 137 shares of NVDA,NVDA,137.0,6.88601541519165,,,
2020-03-02,buy,826.9545745849609,Bought 5 shares of MSFT,MSFT,5.0,165.3909149169922,,,
2020-03-02,buy,586.1850128173828,Bought 6 shares of AMZN,AMZN,6.0,97.69750213623047,,,
2020-03-02,buy,620.8755798339844,Bought 9 shares of GOOGL,GOOGL,9.0,68.98617553710938,,,
2020-03-02,buy,622.1527404785156,Bought 9 shares of GOOG,GOOG,9.0,69.12808227539062,,,
2020-03-02,buy,391.38494873046875,Bought 2 shares of META,META,2.0,195.69247436523438,,,
2020-03-02,buy,347.0226821899414,Bought 7 shares of TSLA,TSLA,7.0,49.574668884277344,,,
2020-03-02,buy,217.6300048828125,Bought 1 shares of BRK-B,BRK-B,1.0,217.6300048828125,,,
2020-04-01,deposit,1500.0,Monthly investment,,,,,,
2020-04-01,sell,13855.921154022217,Sold 237 shares of AAPL for tax-loss harvesting,AAPL,237.0,58.463802337646484,-3377.786121368408,-19.59988102032937,3.0
2020-04-01,sell,233.85520935058594,Sold 4 shares of AAPL for tax-loss harvesting,AAPL,4.0,58.463802337646484,-65.87974548339844,-21.979333548163428,2.0
2020-04-01,sell,876.9570350646973,Sold 15 shares of AAPL for tax-loss harvesting,AAPL,15.0,58.463802337646484,-210.76669692993164,-19.376859282405768,1.0
2020-04-01,sell,829.535041809082,Sold 137 shares of NVDA for tax-loss harvesting,NVDA,137.0,6.055000305175781,-113.84907007217407,-12.068156399744867,1.0
2020-04-01,sell,145.59645080566406,Sold 1 shares of MSFT for tax-loss harvesting,MSFT,1.0,145.59645080566406,-16.900238037109375,-10.400358405740507,2.0
2020-04-01,sell,727.9822540283203,Sold 5 shares of MSFT for tax-loss harvesting,MSFT,5.0,145.59645080566406,-98.97232055664062,-11.968289867229254,1.0
2020-04-01,sell,8445.790634155273,Sold 154 shares of GOOGL for tax-loss harvesting,GOOGL,154.0,54.842796325683594,-2042.8992004394531,-19.477162854996266,3.0
2020-04-01,sell,164.52838897705078,Sold 3 shares of GOOGL for tax-loss harvesting,GOOGL,3.0,54.842796325683594,-49.36601257324219,-23.079618828468853,2.0
2020-04-01,sell,493.58516693115234,Sold 9 shares of GOOGL for tax-loss harvesting,GOOGL,9.0,54.842796325683594,-127.29041290283203,-20.501758651365886,1.0
2020-04-01,sell,8473.141166687012,Sold 154 shares of GOOG for tax-loss harvesting,GOOG,154.0,55.0203971862793,-2005.9741897583008,-19.142590968086836,3.0
2020-04-01,sell,165.0611915588379,Sold 3 shares of GOOG for tax-loss harvesting,GOOG,3.0,55.0203971862793,-49.059139251708984,-22.911948186329113,2.0
2020-04-01,sell,495.1835746765137,Sold 9 shares of GOOG for tax-loss harvesting,GOOG,9.0,55.0203971862793,-126.96916580200195,-20.40803769575077,1.0
2020-04-01,sell,4928.772476196289,Sold 31 shares of META for tax-loss harvesting,META,31.0,158.99266052246094,-1549.6603698730469,-23.92029687879336,3.0
2020-04-01,sell,317.9853210449219,Sold 2 shares of META for tax-loss harvesting,META,2.0,158.99266052246094,-73.39962768554688,-18.75381971729686,1.0
2020-04-01,sell,64.20800018310547,Sold 2 shares of TSLA for tax-loss harvesting,TSLA,2.0,32.104000091552734,-22.53466796875,-25.97875814622146,2.0
2020-04-01,sell,224.72800064086914,Sold 7 shares of TSLA for tax-loss harvesting,TSLA,7.0,32.104000091552734,-122.29468154907227,-35.24112048737344,1.0
2020-04-01,sell,59.22887992858887,Sold 3 shares of AVGO for tax-loss harvesting,AVGO,3.0,19.74295997619629,-20.242544174194336,-25.471475316730118,2.0
2020-04-01,sell,3343.0499420166016,Sold 19 shares of BRK-B for tax-loss harvesting,BRK-B,19.0,175.9499969482422,-996.3600463867188,-22.96072620585289,3.0
2020-04-01,sell,175.9499969482422,Sold 1 shares of BRK-B for tax-loss harvesting,BRK-B,1.0,175.9499969482422,-41.68000793457031,-19.151774571256297,1.0
2020-04-01,buy,45880.186027526855,Bought 481 shares of AMZN,AMZN,481.0,95.38500213623047,,,
2020-05-01,deposit,1500.0,Monthly investment,,,,,,
2020-05-01,buy,210.45364379882812,Bought 3 shares of AAPL,AAPL,3.0,70.15121459960938,,,
2020-05-01,buy,232.45845651626587,Bought 33 shares of NVDA,NVDA,33.0,7.044195652008057,,,
2020-05-01,buy,167.0947265625,Bought 1 shares of MSFT,MSFT,1.0,167.0947265625,,,
2020-05-01,buy,114.302001953125,Bought 1 shares of AMZN,AMZN,1.0,114.302001953125,,,
2020-05-01,buy,131.1051788330078,Bought 2 shares of GOOGL,GOOGL,2.0,65.5525894165039,,,
2020-05-01,buy,131.43846130371094,Bought 2 shares of GOOG,GOOG,2.0,65.71923065185547,,,
