Ticker,Start_Date,M1_Price,M1_Percent_Change,M2_Price,M2_Percent_Change,M3_Price,M3_Percent_Change,M4_Price,M4_Percent_Change,M5_Price,M5_Percent_Change,M6_Price,M6_Percent_Change,M7_Price,M7_Percent_Change,M8_Price,M8_Percent_Change,M9_Price,M9_Percent_Change,M10_Price,M10_Percent_Change,M11_Price,M11_Percent_Change,Final_Rolling_Performance,Num_Sell_Events,Total_Reset_Value,Portfolio_Weight,Sell_Events_Impact,Rolling_Performance_Track
AAPL,2024-01-01,182.89,-1.69,178.71,-2.29,170.39,-4.66,168.78,-0.94,192.25,13.91,211.38,9.95,223.62,5.79,228.05,1.98,229.02,0.43,220.48,-3.73,237.01,7.5,26.25,0,0.0,6.92,0.0,M1:-1.69% -> M2:-3.98% -> M3:-8.64% -> M4:-9.58% -> M5:4.33% -> M6:14.28% -> M7:20.07% -> M8:22.05% -> M9:22.48% -> M10:18.75% -> M11:26.25%
NVDA,2024-01-01,62.08,26.1,79.98,28.83,90.28,12.88,85.06,-5.78,113.59,33.54,123.45,8.68,117.51,-4.81,115.99,-1.29,121.76,4.97,134.69,10.62,138.82,3.07,116.81,0,0.0,5.93,0.0,M1:26.1% -> M2:54.93% -> M3:67.81% -> M4:62.03% -> M5:95.57% -> M6:104.25% -> M7:99.44% -> M8:98.15% -> M9:103.12% -> M10:113.74% -> M11:116.81%
MSFT,2024-01-01,398.05,7.48,408.15,2.54,420.74,3.08,389.64,-7.39,413.13,6.03,446.06,7.97,418.36,-6.21,416.24,-0.51,426.74,2.52,407.38,-4.54,420.73,3.28,14.25,0,0.0,5.84,0.0,M1:7.48% -> M2:10.02% -> M3:13.1% -> M4:5.71% -> M5:11.74% -> M6:19.71% -> M7:13.5% -> M8:12.99% -> M9:15.51% -> M10:10.97% -> M11:14.25%
AMZN,2024-01-01,155.87,2.86,176.75,13.4,180.79,2.29,181.64,0.47,177.7,-2.17,193.49,8.89,189.29,-2.17,177.55,-6.2,184.9,4.14,199.0,7.63,209.96,5.51,34.65,0,0.0,4.25,0.0,M1:2.86% -> M2:16.26% -> M3:18.55% -> M4:19.02% -> M5:16.85% -> M6:25.74% -> M7:23.57% -> M8:17.37% -> M9:21.51% -> M10:29.14% -> M11:34.65%
GOOGL,2024-01-01,141.61,2.58,137.93,-2.6,150.15,8.86,163.71,9.03,171.92,5.01,182.58,6.2,169.83,-6.98,161.32,-5.01,167.5,3.83,169.88,1.42,168.58,-0.77,21.57,0,0.0,4.23,0.0,M1:2.58% -> M2:-0.02% -> M3:8.84% -> M4:17.87% -> M5:22.88% -> M6:29.08% -> M7:22.1% -> M8:17.09% -> M9:20.92% -> M10:22.34% -> M11:21.57%
GOOG,2024-01-01,143.18,2.93,139.11,-2.84,151.29,8.76,165.59,9.45,173.26,4.63,184.03,6.22,171.56,-6.78,162.92,-5.04,168.67,3.53,171.35,1.59,170.13,-0.71,21.74,0,0.0,4.23,0.0,M1:2.93% -> M2:0.09% -> M3:8.85% -> M4:18.3% -> M5:22.93% -> M6:29.15% -> M7:22.37% -> M8:17.33% -> M9:20.86% -> M10:22.45% -> M11:21.74%
META,2024-01-01,392.44,12.13,490.76,25.05,485.86,-1.0,427.42,-12.03,469.57,9.86,504.06,7.35,520.08,3.18,518.73,-0.26,577.51,11.33,567.15,-1.79,577.03,1.74,55.56,0,0.0,2.66,0.0,M1:12.13% -> M2:37.18% -> M3:36.18% -> M4:24.15% -> M5:34.01% -> M6:41.36% -> M7:44.54% -> M8:44.28% -> M9:55.61% -> M10:53.82% -> M11:55.56%
TSLA,2024-01-01,188.5,-24.62,200.52,6.38,176.17,-12.14,182.0,3.31,178.13,-2.13,201.02,12.85,227.69,13.27,215.26,-5.46,262.67,22.02,252.04,-4.05,352.38,39.81,73.86,1,-24.62,2.43,-5986.97,M1:-24.62% [SELL] -> M2:6.38% -> M3:-5.76% -> M4:-2.45% -> M5:-4.58% -> M6:8.27% -> M7:21.54% -> M8:16.08% -> M9:38.1% -> M10:34.05% -> M11:73.86%
AVGO,2024-01-01,117.16,8.72,130.83,11.67,131.36,0.41,126.67,-3.57,134.04,5.82,159.86,19.26,156.56,-2.06,159.43,1.83,171.7,7.7,167.81,-2.27,162.51,-3.16,44.35,0,0.0,1.86,0.0,M1:8.72% -> M2:20.39% -> M3:20.8% -> M4:17.23% -> M5:23.05% -> M6:42.31% -> M7:40.25% -> M8:42.08% -> M9:49.78% -> M10:47.51% -> M11:44.35%
BRK-B,2024-01-01,384.0,7.77,409.48,6.64,421.49,2.93,396.61,-5.9,414.89,4.61,408.09,-1.64,439.67,7.74,475.0,8.04,459.11,-3.35,451.49,-1.66,484.8,7.38,32.56,0,0.0,1.76,0.0,M1:7.77% -> M2:14.41% -> M3:17.34% -> M4:11.44% -> M5:16.05% -> M6:14.41% -> M7:22.15% -> M8:30.19% -> M9:26.84% -> M10:25.18% -> M11:32.56%
