Ticker,Start_Date,M1_Price,M1_Percent_Change,M2_Price,M2_Percent_Change,M3_Price,M3_Percent_Change,M4_Price,M4_Percent_Change,M5_Price,M5_Percent_Change,M6_Price,M6_Percent_Change,M7_Price,M7_Percent_Change,M8_Price,M8_Percent_Change,M9_Price,M9_Percent_Change,M10_Price,M10_Percent_Change,M11_Price,M11_Percent_Change,Final_Rolling_Performance,Num_Sell_Events,Total_Reset_Value,Portfolio_Weight,Sell_Events_Impact,Rolling_Performance_Track,Total Loss $1M
AAPL,1/1/23,142.32,10.51,145.36,2.14,162.63,11.88,167.59,3.05,176.17,5.12,192.11,9.05,194.55,1.27,188.11,-3.31,169.97,-9.64,169.76,-0.12,189.19,11.45,41.4,0,0,6.92,0,M1:10.51% -> M2:12.65% -> M3:24.53% -> M4:27.58% -> M5:32.7% -> M6:41.75% -> M7:43.02% -> M8:39.71% -> M9:30.07% -> M10:29.95% -> M11:41.4%,-26525.72
NVDA,1/1/23,19.68,32.61,23.18,17.78,27.49,18.59,27.82,1.2,38.47,38.28,42.5,10.48,46.44,9.27,49.74,7.11,44.01,-11.52,40.87,-7.13,46.51,13.8,130.47,0,0,5.93,0,M1:32.61% -> M2:50.39% -> M3:68.98% -> M4:70.18% -> M5:108.46% -> M6:118.94% -> M7:128.21% -> M8:135.32% -> M9:123.8% -> M10:116.67% -> M11:130.47%,
MSFT,1/1/23,243.51,2.02,246.83,1.36,282.03,14.26,302.16,7.14,321.53,6.41,334.61,4.07,330.66,-1.18,327.53,-0.95,312.67,-4.54,335.91,7.43,373.22,11.11,47.13,0,0,5.84,0,M1:2.02% -> M2:3.38% -> M3:17.64% -> M4:24.78% -> M5:31.19% -> M6:35.26% -> M7:34.08% -> M8:33.13% -> M9:28.59% -> M10:36.02% -> M11:47.13%,
AMZN,1/1/23,102.53,19.97,93.87,-8.45,102.3,8.98,104.95,2.59,120.69,15,130.82,8.39,133.55,2.09,139.46,4.43,127.28,-8.73,133.96,5.25,146,8.99,58.51,0,0,4.25,0,M1:19.97% -> M2:11.52% -> M3:20.5% -> M4:23.09% -> M5:38.09% -> M6:46.48% -> M7:48.57% -> M8:53.0% -> M9:44.27% -> M10:49.52% -> M11:58.51%,
GOOGL,1/1/23,98.35,10.17,89.65,-8.85,102.02,13.8,106.45,4.34,122.38,14.96,118.81,-2.92,130.31,9.68,136.96,5.1,130.74,-4.54,123.62,-5.45,131.38,6.28,42.57,0,0,4.23,0,M1:10.17% -> M2:1.32% -> M3:15.12% -> M4:19.46% -> M5:34.42% -> M6:31.5% -> M7:41.18% -> M8:46.28% -> M9:41.74% -> M10:36.29% -> M11:42.57%,
GOOG,1/1/23,99.38,11.03,89.84,-9.6,102.3,13.87,107.33,4.92,123.06,14.66,119.89,-2.58,130.39,8.76,137.93,5.78,131.68,-4.53,124.89,-5.16,132.84,6.37,43.52,0,0,4.23,0,M1:11.03% -> M2:1.43% -> M3:15.3% -> M4:20.22% -> M5:34.88% -> M6:32.3% -> M7:41.06% -> M8:46.84% -> M9:42.31% -> M10:37.15% -> M11:43.52%,
META,1/1/23,147.47,20.53,173.93,17.94,208.05,19.62,237.71,14.26,264.89,11.43,285.61,7.82,316.33,10.76,298.23,-5.72,301.59,1.13,300.7,-0.3,324.24,7.83,105.3,0,0,2.66,0,M1:20.53% -> M2:38.47% -> M3:58.09% -> M4:72.35% -> M5:83.78% -> M6:91.6% -> M7:102.36% -> M8:96.64% -> M9:97.77% -> M10:97.47% -> M11:105.3%,
TSLA,1/1/23,173.89,46.78,206.21,18.59,199.91,-3.06,163.17,-18.38,202.59,24.16,276.49,36.48,266.26,-3.7,257.26,-3.38,244.81,-4.84,204.04,-16.65,233.14,14.26,90.26,0,0,2.43,0,M1:46.78% -> M2:65.37% -> M3:62.31% -> M4:43.93% -> M5:68.09% -> M6:104.57% -> M7:100.87% -> M8:97.49% -> M9:92.65% -> M10:76.0% -> M11:90.26%,
AVGO,1/1/23,56.3,3.28,57.31,1.79,62.09,8.34,60.88,-1.95,77.8,27.79,84.85,9.06,87.82,3.5,88.1,0.32,81.43,-7.57,82.7,1.56,90.6,9.55,55.67,0,0,1.86,0,M1:3.28% -> M2:5.07% -> M3:13.41% -> M4:11.46% -> M5:39.25% -> M6:48.31% -> M7:51.81% -> M8:52.13% -> M9:44.56% -> M10:46.12% -> M11:55.67%,
BRK-B,1/1/23,309.63,-0.14,304.02,-1.81,309.25,1.72,329.16,6.44,321.42,-2.35,340.75,6.01,352.03,3.31,362,2.83,349.64,-3.41,341.21,-2.41,359.94,5.49,15.68,0,0,1.76,0,M1:-0.14% -> M2:-1.95% -> M3:-0.23% -> M4:6.21% -> M5:3.86% -> M6:9.87% -> M7:13.18% -> M8:16.01% -> M9:12.6% -> M10:10.19% -> M11:15.68%,
