date,type,amount,description,ticker,shares,price,gain_loss,gain_loss_pct,days_held
2020-01-01,deposit,100000.0,Initial investment,,,,,,
2020-01-02,buy,11009.81,Bought 151.4 shares of AAPL,AAPL,151.4,72.72,,,
2020-01-02,buy,9439.94,Bought 1581.23 shares of NVDA,NVDA,1581.23,5.97,,,
2020-01-02,buy,9289.66,Bought 60.59 shares of MSFT,MSFT,60.59,153.32,,,
2020-01-02,buy,6769.22,Bought 71.33 shares of AMZN,AMZN,71.33,94.9,,,
2020-01-02,buy,6729.95,Bought 98.81 shares of GOOGL,GOOGL,98.81,68.11,,,
2020-01-02,buy,6729.46,Bought 98.89 shares of GOOG,GOOG,98.89,68.05,,,
2020-01-02,buy,4228.2,Bought 20.25 shares of META,META,20.25,208.8,,,
2020-01-02,buy,3869.79,Bought 134.93 shares of TSLA,TSLA,134.93,28.68,,,
2020-01-02,buy,2949.87,Bought 105.73 shares of AVGO,AVGO,105.73,27.9,,,
2020-01-02,buy,2797.78,Bought 12.25 shares of BRK-B,BRK-B,12.25,228.39,,,
2020-01-02,buy,2119.74,Bought 57.79 shares of WMT,WMT,57.79,36.68,,,
2020-01-02,buy,1979.2,Bought 16.0 shares of LLY,LLY,16.0,123.7,,,
2020-01-02,buy,1909.67,Bought 15.72 shares of JPM,JPM,15.72,121.48,,,
2020-01-02,buy,1758.92,Bought 9.55 shares of V,V,9.55,184.18,,,
2020-01-02,buy,1387.52,Bought 4.71 shares of MA,MA,4.71,294.59,,,
2020-01-02,buy,1359.59,Bought 27.29 shares of ORCL,ORCL,27.29,49.82,,,
2020-01-02,buy,1329.98,Bought 24.12 shares of XOM,XOM,24.12,55.14,,,
2020-01-02,buy,1317.92,Bought 4.87 shares of UNH,UNH,4.87,270.62,,,
2020-01-02,buy,1209.51,Bought 4.52 shares of COST,COST,4.52,267.59,,,
2020-01-02,buy,1129.74,Bought 10.42 shares of PG,PG,10.42,108.42,,,
2020-01-02,buy,1118.43,Bought 5.78 shares of HD,HD,5.78,193.5,,,
