Ticker,Start_Date,Q1_Price,Percent_Change,Q2_Price,Q3_Price,Q4_Price,Portfolio_Weight,Weighted_Impact
AAPL,2023-01-01,162.63,9.45,192.11,169.97,186.03,6.920915243972741,0.654026490555424
NVDA,2023-01-01,27.49,11.86,42.5,44.01,49.23,5.93496381573215,0.7038867085458329
MSFT,2023-01-01,282.03,18.44,334.61,312.67,370.34,5.84008785436112,1.0769122003441907
AMZN,2023-01-01,102.3,19.06,130.82,127.28,151.54,4.2549948668352195,0.8110020216187929
GOOGL,2023-01-01,102.02,5.59,118.81,130.74,138.05,4.230870981963379,0.2365056878917529
GOOG,2023-01-01,102.3,5.63,119.89,131.68,139.1,4.23086720892176,0.23819782386229507
META,2023-01-01,208.05,16.04,285.61,301.59,349.98,2.65813329085953,0.42636457985386855
TSLA,2023-01-01,199.91,2.15,276.49,244.81,250.08,2.43174937863789,0.05228261164071463
AVGO,2023-01-01,62.09,32.33,84.85,81.43,107.76,1.8552904023247399,0.5998153870715884
BRK-B,2023-01-01,309.25,1.91,340.75,349.64,356.32,1.7609418414279598,0.03363398917127403
WMT,2023-01-01,48.13,-1.03,51.28,52.34,51.8,1.33315249578394,-0.013731470706574583
LLY,2023-01-01,338.19,8.48,460.6,530.64,575.65,1.24222278222706,0.10534049193285469
JPM,2023-01-01,123.48,17.62,140.04,139.69,164.3,1.20348036549762,0.21205324040068066
V,2023-01-01,221.82,13.49,233.87,226.64,257.21,1.10688708065074,0.14931906717978483
MA,2023-01-01,358.39,7.9,387.39,390.19,421.03,0.87193282229185,0.06888269296105615
ORCL,2023-01-01,90.01,-0.87,115.47,103.9,103.0,0.85374351921528,-0.007427568617172936
XOM,2023-01-01,105.9,-13.34,101.26,111.62,96.73,0.8371482672703099,-0.11167557885385934
UNH,2023-01-01,472.31,4.57,467.31,496.04,518.72,0.8280689142367299,0.03784274938061856
COST,2023-01-01,479.32,18.28,519.74,550.44,651.05,0.7619493664505,0.1392843441871514
PG,2023-01-01,141.26,1.73,145.07,139.53,141.94,0.71207270389399,0.012318857777366026
HD,2023-01-01,282.06,15.31,298.45,291.38,335.98,0.70164908687495,0.10742247520055484
NFLX,2023-01-01,341.83,28.0,439.76,377.48,483.19,0.69910576205273,0.1957496133747644
JNJ,2023-01-01,145.65,1.78,155.65,148.27,150.91,0.625788135158,0.0111390288058124
BAC,2023-01-01,27.09,23.42,27.36,26.22,32.36,0.60974392415119,0.14280202703620873
CRM,2023-01-01,197.12,29.75,209.4,199.68,259.09,0.59168420147283,0.17602604993816692
ABBV,2023-01-01,146.75,5.37,125.41,140.49,148.04,0.55822292289272,0.029976570959339068
KO,2023-01-01,59.05,6.02,57.5,53.82,57.06,0.48477981288716004,0.02918374473580703
TMUS,2023-01-01,141.8,15.08,135.85,136.83,157.47,0.45997825436772,0.06936472075865217
CVX,2023-01-01,156.28,-9.96,146.09,157.96,142.22,0.45821972220289997,-0.045638684331408844
MRK,2023-01-01,101.03,6.92,109.88,99.38,106.26,0.44623948969961,0.030879772687213015
WFC,2023-01-01,35.5,21.58,40.88,39.11,47.55,0.42134876359495,0.0909270631837902
CSCO,2023-01-01,48.98,-5.54,48.68,51.42,48.57,0.4193244088571,-0.02323057225068334
ACN,2023-01-01,275.67,13.68,300.78,301.45,342.68,0.41228261620705,0.05640026189712444
NOW,2023-01-01,461.53,25.65,560.85,554.75,697.05,0.40506148617238996,0.10389827120321803
AXP,2023-01-01,159.98,26.17,170.55,145.72,183.85,0.37850469689955,0.09905467917861224
MCD,2023-01-01,268.27,13.29,285.82,252.82,286.42,0.37734940924097005,0.05014973648812491
PEP,2023-01-01,172.49,1.03,175.99,162.59,164.26,0.37714430905654,0.003884586383282362
BX,2023-01-01,81.61,22.23,88.65,102.19,124.91,0.3727941394506,0.08287213719986838
IBM,2023-01-01,121.09,17.6,125.04,132.75,156.11,0.37157126128858003,0.06539654198679008
DIS,2023-01-01,98.99,11.71,88.03,79.93,89.29,0.36500608043532,0.042742212018975975
LIN,2023-01-01,345.72,10.81,375.0,365.34,404.84,0.36349300231416,0.039293593550160696
TMO,2023-01-01,566.82,5.33,517.23,501.38,528.12,0.36063330205653,0.01922175499961305
MS,2023-01-01,81.81,15.65,81.01,76.79,88.81,0.35778648319882,0.055993584620615336
ABT,2023-01-01,96.82,15.05,104.5,92.88,106.86,0.35645619125812,0.05364665678434706
ADBE,2023-01-01,380.88,15.99,486.39,508.24,589.51,0.3541476793231,0.05662821392376369
AMD,2023-01-01,96.7,41.16,115.16,102.21,144.28,0.34805032615410003,0.14325751424502756
