Ticker,Start_Date,M1_Price,M1_Percent_Change,M2_Price,M2_Percent_Change,M3_Price,M3_Percent_Change,M4_Price,M4_Percent_Change,M5_Price,M5_Percent_Change,M6_Price,M6_Percent_Change,M7_Price,M7_Percent_Change,M8_Price,M8_Percent_Change,M9_Price,M9_Percent_Change,M10_Price,M10_Percent_Change,M11_Price,M11_Percent_Change,Portfolio_Weight,Negative_Periods_Impact
AAPL,2023-01-01,142.32,10.51,145.36,2.14,162.63,11.88,167.59,3.05,176.17,5.12,192.11,9.05,194.55,1.27,188.11,-3.31,169.97,-9.64,169.76,-0.12,189.19,11.45,6.92,0.0
NVDA,2023-01-01,19.68,32.61,23.18,17.78,27.49,18.59,27.82,1.2,38.47,38.28,42.5,10.48,46.44,9.27,49.74,7.11,44.01,-11.52,40.87,-7.13,46.51,13.8,5.93,-6837.08
MSFT,2023-01-01,243.51,2.02,246.83,1.36,282.03,14.26,302.16,7.14,321.53,6.41,334.61,4.07,330.66,-1.18,327.53,-0.95,312.67,-4.54,335.91,7.43,373.22,11.11,5.84,0.0
AMZN,2023-01-01,102.53,19.97,93.87,-8.45,102.3,8.98,104.95,2.59,120.69,15.0,130.82,8.39,133.55,2.09,139.46,4.43,127.28,-8.73,133.96,5.25,146.0,8.99,4.25,0.0
GOOGL,2023-01-01,98.35,10.17,89.65,-8.85,102.02,13.8,106.45,4.34,122.38,14.96,118.81,-2.92,130.31,9.68,136.96,5.1,130.74,-4.54,123.62,-5.45,131.38,6.28,4.23,0.0
GOOG,2023-01-01,99.38,11.03,89.84,-9.6,102.3,13.87,107.33,4.92,123.06,14.66,119.89,-2.58,130.39,8.76,137.93,5.78,131.68,-4.53,124.89,-5.16,132.84,6.37,4.23,0.0
META,2023-01-01,147.47,20.53,173.93,17.94,208.05,19.62,237.71,14.26,264.89,11.43,285.61,7.82,316.33,10.76,298.23,-5.72,301.59,1.13,300.7,-0.3,324.24,7.83,2.66,0.0
TSLA,2023-01-01,173.89,46.78,206.21,18.59,199.91,-3.06,163.17,-18.38,202.59,24.16,276.49,36.48,266.26,-3.7,257.26,-3.38,244.81,-4.84,204.04,-16.65,233.14,14.26,2.43,-8518.42
AVGO,2023-01-01,56.3,3.28,57.31,1.79,62.09,8.34,60.88,-1.95,77.8,27.79,84.85,9.06,87.82,3.5,88.1,0.32,81.43,-7.57,82.7,1.56,90.6,9.55,1.86,0.0
BRK-B,2023-01-01,309.63,-0.14,304.02,-1.81,309.25,1.72,329.16,6.44,321.42,-2.35,340.75,6.01,352.03,3.31,362.0,2.83,349.64,-3.41,341.21,-2.41,359.94,5.49,1.76,0.0
WMT,2023-01-01,46.61,0.78,45.77,-1.8,48.13,5.16,49.2,2.22,47.81,-2.83,51.28,7.26,52.3,1.99,53.45,2.2,52.34,-2.08,53.89,2.96,50.99,-5.38,1.33,0.0
LLY,2023-01-01,336.66,-6.41,305.44,-9.27,338.19,10.72,391.42,15.74,425.05,8.59,460.6,8.36,449.82,-2.34,550.74,22.44,530.64,-3.65,549.44,3.54,586.85,6.81,1.24,0.0
