Ticker,Start_Date,Q1_Price,Q1_Percent_Change,Q2_Price,Q2_Percent_Change,Q3_Price,Q3_Percent_Change,Q4_Price,Q4_Percent_Change,Portfolio_Weight,Negative_Quarters_Impact
AAPL,2023-01-01,162.63,26.29,192.11,18.13,169.97,-11.52,186.03,9.45,6.92,-7972.89
NVDA,2023-01-01,27.49,85.24,42.5,54.6,44.01,3.55,49.23,11.86,5.93,0.0
MSFT,2023-01-01,282.03,18.16,334.61,18.64,312.67,-6.56,370.34,18.44,5.84,0.0
AMZN,2023-01-01,102.3,19.71,130.82,27.88,127.28,-2.71,151.54,19.06,4.25,0.0
GOOGL,2023-01-01,102.02,14.28,118.81,16.46,130.74,10.04,138.05,5.59,4.23,0.0
GOOG,2023-01-01,102.3,14.29,119.89,17.19,131.68,9.83,139.1,5.63,4.23,0.0
META,2023-01-01,208.05,70.04,285.61,37.28,301.59,5.6,349.98,16.04,2.66,0.0
TSLA,2023-01-01,199.91,68.74,276.49,38.31,244.81,-11.46,250.08,2.15,2.43,-2786.78
AVGO,2023-01-01,62.09,13.91,84.85,36.66,81.43,-4.03,107.76,32.33,1.86,0.0
BRK-B,2023-01-01,309.25,-0.26,340.75,10.19,349.64,2.61,356.32,1.91,1.76,0.0
WMT,2023-01-01,48.13,4.06,51.28,6.54,52.34,2.07,51.8,-1.03,1.33,0.0
LLY,2023-01-01,338.19,-5.98,460.6,36.2,530.64,15.21,575.65,8.48,1.24,0.0
JPM,2023-01-01,123.48,-3.23,140.04,13.41,139.69,-0.25,164.3,17.62,1.2,0.0
V,2023-01-01,221.82,7.83,233.87,5.43,226.64,-3.09,257.21,13.49,1.11,0.0
MA,2023-01-01,358.39,3.78,387.39,8.09,390.19,0.72,421.03,7.9,0.87,0.0
ORCL,2023-01-01,90.01,12.43,115.47,28.29,103.9,-10.02,103.0,-0.87,0.85,-855.45
XOM,2023-01-01,105.9,4.09,101.26,-4.38,111.62,10.23,96.73,-13.34,0.84,-1116.76
UNH,2023-01-01,472.31,-7.28,467.31,-1.06,496.04,6.15,518.72,4.57,0.83,0.0
COST,2023-01-01,479.32,8.6,519.74,8.43,550.44,5.91,651.05,18.28,0.76,0.0
PG,2023-01-01,141.26,-1.06,145.07,2.7,139.53,-3.82,141.94,1.73,0.71,0.0
HD,2023-01-01,282.06,-6.43,298.45,5.81,291.38,-2.37,335.98,15.31,0.7,0.0
NFLX,2023-01-01,341.83,14.68,439.76,28.65,377.48,-14.16,483.19,28.0,0.7,-989.93
JNJ,2023-01-01,145.65,-11.41,155.65,6.87,148.27,-4.74,150.91,1.78,0.63,-714.02
BAC,2023-01-01,27.09,-13.26,27.36,1.0,26.22,-4.17,32.36,23.42,0.61,-808.52
CRM,2023-01-01,197.12,46.62,209.4,6.23,199.68,-4.64,259.09,29.75,0.59,0.0
ABBV,2023-01-01,146.75,-1.41,125.41,-14.54,140.49,12.02,148.04,5.37,0.56,-811.66
KO,2023-01-01,59.05,-1.24,57.5,-2.62,53.82,-6.4,57.06,6.02,0.48,0.0
TMUS,2023-01-01,141.8,4.32,135.85,-4.2,136.83,0.72,157.47,15.08,0.46,0.0
CVX,2023-01-01,156.28,-3.79,146.09,-6.52,157.96,8.13,142.22,-9.96,0.46,0.0
MRK,2023-01-01,101.03,-3.37,109.88,8.76,99.38,-9.56,106.26,6.92,0.45,0.0
WFC,2023-01-01,35.5,-9.25,40.88,15.15,39.11,-4.33,47.55,21.58,0.42,0.0
CSCO,2023-01-01,48.98,9.65,48.68,-0.61,51.42,5.63,48.57,-5.54,0.42,0.0
ACN,2023-01-01,275.67,5.7,300.78,9.11,301.45,0.22,342.68,13.68,0.41,0.0
NOW,2023-01-01,461.53,16.82,560.85,21.52,554.75,-1.09,697.05,25.65,0.41,0.0
AXP,2023-01-01,159.98,10.12,170.55,6.61,145.72,-14.56,183.85,26.17,0.38,-551.1
MCD,2023-01-01,268.27,7.24,285.82,6.54,252.82,-11.55,286.42,13.29,0.38,-435.84
PEP,2023-01-01,172.49,1.41,175.99,2.03,162.59,-7.61,164.26,1.03,0.38,0.0
BX,2023-01-01,81.61,13.82,88.65,8.63,102.19,15.27,124.91,22.23,0.37,0.0
IBM,2023-01-01,121.09,-6.04,125.04,3.26,132.75,6.17,156.11,17.6,0.37,0.0
DIS,2023-01-01,98.99,12.63,88.03,-11.07,79.93,-9.2,89.29,11.71,0.37,-404.06
LIN,2023-01-01,345.72,11.68,375.0,8.47,365.34,-2.58,404.84,10.81,0.36,0.0
TMO,2023-01-01,566.82,3.0,517.23,-8.75,501.38,-3.06,528.12,5.33,0.36,0.0
MS,2023-01-01,81.81,3.53,81.01,-0.98,76.79,-5.21,88.81,15.65,0.36,0.0
ABT,2023-01-01,96.82,-8.38,104.5,7.93,92.88,-11.12,106.86,15.05,0.36,-396.38
ADBE,2023-01-01,380.88,11.97,486.39,27.7,508.24,4.49,589.51,15.99,0.35,0.0
AMD,2023-01-01,96.7,46.52,115.16,19.09,102.21,-11.25,144.28,41.16,0.35,-391.56
PM,2023-01-01,88.86,-2.94,90.77,2.15,86.69,-4.49,89.34,3.06,0.35,0.0
ISRG,2023-01-01,254.3,-5.67,339.92,33.67,291.96,-14.11,333.0,14.06,0.34,-474.18
PLTR,2023-01-01,8.37,27.2,15.49,85.07,16.03,3.49,16.95,5.74,0.33,0.0
GE,2023-01-01,75.76,46.09,86.29,13.9,87.52,1.43,100.7,15.06,0.33,0.0
INTU,2023-01-01,437.34,11.9,447.75,2.38,506.07,13.03,617.52,22.02,0.32,0.0
GS,2023-01-01,309.32,-4.93,308.11,-0.39,310.31,0.71,372.1,19.91,0.32,0.0
CAT,2023-01-01,222.08,-3.98,238.76,7.51,265.98,11.4,287.74,8.18,0.32,0.0
TXN,2023-01-01,174.67,11.62,171.11,-2.04,152.55,-10.85,162.97,6.83,0.31,-332.76
QCOM,2023-01-01,121.38,14.75,114.79,-5.43,107.0,-6.79,138.69,29.62,0.31,0.0
