date,type,amount,description,ticker,shares,price,gain_loss,gain_loss_pct,days_held
2024-01-01,deposit,100000.0,Initial investment,,,,,,
2024-01-02,buy,9964.732818603516,Bought 54 shares of AAPL,AAPL,54.0,184.53208923339844,,,
2024-01-02,buy,9967.949718475342,Bought 207 shares of NVDA,NVDA,207.0,48.15434646606445,,,
2024-01-02,buy,9919.276611328125,Bought 27 shares of MSFT,MSFT,27.0,367.380615234375,,,
2024-01-02,buy,9895.379516601562,Bought 66 shares of AMZN,AMZN,66.0,149.92999267578125,,,
2024-01-02,buy,9900.904174804688,Bought 72 shares of GOOGL,GOOGL,72.0,137.51255798339844,,,
2024-01-02,buy,9862.047988891602,Bought 71 shares of GOOG,GOOG,71.0,138.90208435058594,,,
2024-01-02,buy,9659.223266601562,Bought 28 shares of META,META,28.0,344.9722595214844,,,
2024-01-02,buy,9936.799926757812,Bought 40 shares of TSLA,TSLA,40.0,248.4199981689453,,,
2024-01-02,buy,9959.881233215332,Bought 93 shares of AVGO,AVGO,93.0,107.09549713134766,,,
2024-01-02,buy,9786.41976928711,Bought 27 shares of BRK-B,BRK-B,27.0,362.4599914550781,,,
2024-02-01,deposit,5000.0,Monthly investment,,,,,,
2024-02-01,sell,7554.4000244140625,Sold 40 shares of TSLA for tax-loss harvesting,TSLA,40.0,188.86000061035156,-2382.39990234375,-23.975524513967763,1.0
2024-02-01,buy,1485.9583740234375,Bought 8 shares of AAPL,AAPL,8.0,185.7447967529297,,,
2024-02-01,buy,1512.2192687988281,Bought 24 shares of NVDA,NVDA,24.0,63.00913619995117,,,
2024-02-01,buy,1199.9430541992188,Bought 3 shares of MSFT,MSFT,3.0,399.98101806640625,,,
2024-02-01,buy,1433.5199890136719,Bought 9 shares of AMZN,AMZN,9.0,159.27999877929688,,,
2024-02-01,buy,1404.8834228515625,Bought 10 shares of GOOGL,GOOGL,10.0,140.48834228515625,,,
2024-02-01,buy,1420.3726196289062,Bought 10 shares of GOOG,GOOG,10.0,142.03726196289062,,,
2024-02-01,buy,1179.8331298828125,Bought 3 shares of META,META,3.0,393.2777099609375,,,
2024-02-01,buy,1420.8738098144531,Bought 12 shares of AVGO,AVGO,12.0,118.4061508178711,,,
2024-02-01,buy,1159.3200073242188,Bought 3 shares of BRK-B,BRK-B,3.0,386.44000244140625,,,
2024-03-01,deposit,5000.0,Monthly investment,,,,,,
2024-03-01,buy,536.447021484375,Bought 3 shares of AAPL,AAPL,3.0,178.815673828125,,,
2024-03-01,buy,575.7897338867188,Bought 7 shares of NVDA,NVDA,7.0,82.25567626953125,,,
2024-03-01,buy,412.3518371582031,Bought 1 shares of MSFT,MSFT,1.0,412.3518371582031,,,
2024-03-01,buy,534.6600036621094,Bought 3 shares of AMZN,AMZN,3.0,178.22000122070312,,,
2024-03-01,buy,545.9498901367188,Bought 4 shares of GOOGL,GOOGL,4.0,136.4874725341797,,,
2024-03-01,buy,549.71630859375,Bought 4 shares of GOOG,GOOG,4.0,137.4290771484375,,,
2024-03-01,buy,500.9194641113281,Bought 1 shares of META,META,1.0,500.9194641113281,,,
2024-03-01,buy,607.9199981689453,Bought 3 shares of TSLA,TSLA,3.0,202.63999938964844,,,
2024-03-01,buy,552.2299194335938,Bought 4 shares of AVGO,AVGO,4.0,138.05747985839844,,,
2024-03-01,buy,407.1099853515625,Bought 1 shares of BRK-B,BRK-B,1.0,407.1099853515625,,,
2024-04-01,deposit,5000.0,Monthly investment,,,,,,
2024-04-01,sell,525.6600036621094,Sold 3 shares of TSLA for tax-loss harvesting,TSLA,3.0,175.22000122070312,-82.25999450683594,-13.531384845802574,1.0
2024-04-01,buy,676.9237060546875,Bought 4 shares of AAPL,AAPL,4.0,169.23092651367188,,,
2024-04-01,buy,722.7329711914062,Bought 8 shares of NVDA,NVDA,8.0,90.34162139892578,,,
2024-04-01,buy,421.3531188964844,Bought 1 shares of MSFT,MSFT,1.0,421.3531188964844,,,
2024-04-01,buy,723.8800048828125,Bought 4 shares of AMZN,AMZN,4.0,180.97000122070312,,,
2024-04-01,buy,619.0006713867188,Bought 4 shares of GOOGL,GOOGL,4.0,154.7501678466797,,,
